iter	Passed	Remaining
438	2167	301
439	2171	296
440	2176	291
441	2181	286
442	2184	281
443	2189	276
444	2193	271
445	2197	266
446	2201	261
447	2205	255
448	2210	251
449	2214	246
450	2218	241
451	2222	236
452	2227	231
453	2231	226
454	2235	221
455	2239	216
456	2243	211
457	2248	206
458	2252	201
459	2257	196
460	2261	191
461	2265	186
462	2269	181
463	2274	176
464	2279	171
465	2283	166
466	2288	161
467	2292	156
468	2296	151
469	2300	146
470	2304	141
471	2309	136
472	2313	132
473	2317	127
474	2321	122
475	2325	117
476	2330	112
477	2335	107
478	2340	102
479	2345	97
480	2350	92
481	2354	87
482	2358	83
483	2363	78
484	2367	73
485	2371	68
486	2375	63
487	2379	58
488	2383	53
489	2388	48
490	2392	43
491	2397	38
492	2401	34
493	2405	29
494	2411	24
495	2415	19
496	2421	14
497	2426	9
498	2431	4
499	2436	0
