iter	Logloss
0	0.6523349609
1	0.6214802083
2	0.5903402344
3	0.5606638021
4	0.5381194987
5	0.5175942708
6	0.5014622396
7	0.4847755208
8	0.4730982747
9	0.4613517578
10	0.4479188151
11	0.4360354167
12	0.426608724
13	0.41778125
14	0.4117942057
15	0.4051624674
16	0.3992128255
17	0.3947093099
18	0.3900720052
19	0.3850700846
20	0.3802889974
21	0.3767089193
22	0.373939974
23	0.3712356445
24	0.3684391276
25	0.366471224
26	0.3636233724
27	0.3615047852
28	0.3595771484
29	0.357985026
30	0.3561918294
31	0.353848112
32	0.3524735026
33	0.3513016927
34	0.3499576172
35	0.3489510417
36	0.3473385742
37	0.3459463867
38	0.3450289062
39	0.3440143229
40	0.3431189453
41	0.342009082
42	0.3408130534
43	0.3402095378
44	0.3394031576
45	0.3386617188
46	0.3376208008
47	0.3364668294
48	0.335650651
49	0.3351465495
50	0.3346746745
51	0.3340561849
52	0.333201888
53	0.3325072917
54	0.3321101237
55	0.3315462891
56	0.3311447266
57	0.3306412109
58	0.330230013
59	0.3298999349
60	0.3295100911
61	0.3289890625
62	0.3286296224
63	0.3281837891
64	0.3280805013
65	0.3276201172
66	0.3269890299
67	0.3263769531
68	0.3256982422
69	0.3253744466
70	0.3248845052
71	0.3246141276
72	0.3241819336
73	0.3237013346
74	0.3233123698
75	0.3229811198
76	0.3224744792
77	0.3221132161
78	0.321566569
79	0.3211903646
80	0.3207205078
81	0.320356901
82	0.319985612
83	0.3196624023
84	0.3191839844
85	0.3188854818
86	0.3186536458
87	0.318494987
88	0.3182049479
89	0.3176330729
90	0.3172875651
91	0.3170475586
92	0.3167840495
93	0.3162863607
94	0.3159795573
95	0.3154983073
96	0.3152730469
97	0.3147306641
98	0.3145398112
99	0.3142101562
100	0.313888444
101	0.3135587891
102	0.3132501628
103	0.313015625
104	0.3127639323
105	0.3123140951
106	0.3119943359
107	0.3115897786
108	0.3113541667
109	0.311061849
110	0.3106534505
111	0.3104912435
112	0.3102123698
113	0.3100299479
114	0.3098610677
115	0.3096283854
116	0.3094135091
117	0.3090864583
118	0.3088169271
119	0.3084745443
120	0.3082928711
121	0.3080096354
